dens densp densn dense densm mup mun mue xm vsigma vomega vrho E Eh El P Ph Pl
0.00404759 2.73719e-06 0.00404496 2.6289e-06 0 933.343 941.783 8.44073 926.589 0.0132169 0.00895478 -0.00360907 3.80833 3.80832 1.66726e-05 0.00371663 0.00371112 5.51724e-06
0.00409755 2.81269e-06 0.00409484 2.70792e-06 0 933.275 941.799 8.52416 926.438 0.0133781 0.00906527 -0.00365345 3.85538 3.85537 1.73429e-05 0.00378038 0.00377464 5.73987e-06
0.00414751 2.88966e-06 0.00414472 2.78834e-06 0 933.207 941.815 8.60743 926.287 0.0135394 0.00917575 -0.00369783 3.90243 3.90241 1.80318e-05 0.00384441 0.00383844 5.96868e-06
0.00419747 2.96813e-06 0.0041946 2.87017e-06 0 933.14 941.83 8.69052 926.135 0.0137005 0.00928624 -0.0037422 3.94948 3.94946 1.87395e-05 0.00390872 0.00390252 6.20377e-06
0.00424743 3.0481e-06 0.00424447 2.95341e-06 0 933.072 941.845 8.77345 925.984 0.0138616 0.00939672 -0.00378656 3.99653 3.99652 1.94664e-05 0.00397331 0.00396686 6.44523e-06
0.00429739 3.12957e-06 0.00429435 3.03808e-06 0 933.004 941.861 8.85622 925.833 0.0140227 0.00950721 -0.00383092 4.04359 4.04357 2.02127e-05 0.00403817 0.00403147 6.69316e-06
0.00434735 3.21255e-06 0.00434422 3.12417e-06 0 932.937 941.876 8.93882 925.681 0.0141838 0.00961769 -0.00387527 4.09064 4.09062 2.09787e-05 0.0041033 0.00409635 6.94767e-06
0.00439731 3.29705e-06 0.0043941 3.2117e-06 0 932.869 941.891 9.02127 925.53 0.0143448 0.00972817 -0.00391962 4.13769 4.13767 2.17648e-05 0.00416871 0.0041615 7.20884e-06
0.00444727 3.38308e-06 0.00444397 3.30068e-06 0 932.802 941.905 9.10356 925.379 0.0145057 0.00983865 -0.00396396 4.18475 4.18473 2.25712e-05 0.00423438 0.00422691 7.47678e-06
0.00449723 3.47064e-06 0.00449384 3.39112e-06 0 932.735 941.92 9.18569 925.228 0.0146666 0.00994912 -0.00400829 4.2318 4.23178 2.33982e-05 0.00430033 0.00429258 7.75158e-06
