dens densu densd denss densp densn dense densm xmu xmd xms xm muu mud mus mup mun mue E Eq Eh El P Pq Ph Pl chi
0.251457 0.209551 0.700455 0 0.0546778 0.168949 0.00284289 0 126.884 83.278 457.954 400.304 274.389 360.87 360.87 909.649 996.13 86.481 242.179 302.029 209.79 0.184395 8.30481 8.2433 8.1471e-05 0.0614607 0.349143
0.251498 0.209648 0.700519 0 0.0546879 0.168955 0.00284236 0 126.829 83.2439 457.949 400.273 274.396 360.872 360.872 909.664 996.14 86.4757 242.22 302.078 209.805 0.184349 8.30732 8.24583 8.1496e-05 0.0614454 0.349295
0.251539 0.209746 0.700582 0 0.0546981 0.16896 0.00284183 0 126.775 83.2099 457.944 400.241 274.403 360.873 360.873 909.68 996.15 86.4703 242.261 302.128 209.819 0.184303 8.30984 8.24837 8.1521e-05 0.0614302 0.349446
0.25158 0.209844 0.700645 0 0.0547083 0.168966 0.0028413 0 126.72 83.176 457.94 400.209 274.41 360.875 360.875 909.695 996.16 86.4649 242.301 302.178 209.834 0.184258 8.31235 8.2509 8.1546e-05 0.0614149 0.349598
0.251621 0.209941 0.700708 0 0.0547184 0.168972 0.00284077 0 126.666 83.1421 457.935 400.178 274.417 360.877 360.877 909.71 996.17 86.4595 242.342 302.227 209.849 0.184212 8.31487 8.25343 8.1571e-05 0.0613996 0.349749
0.251662 0.210039 0.700772 0 0.0547286 0.168977 0.00284023 0 126.611 83.1082 457.93 400.146 274.424 360.878 360.878 909.726 996.18 86.4541 242.383 302.277 209.864 0.184166 8.31739 8.25596 8.15961e-05 0.0613843 0.349901
0.251703 0.210136 0.700835 0 0.0547387 0.168983 0.0028397 0 126.557 83.0744 457.925 400.114 274.431 360.88 360.88 909.741 996.19 86.4488 242.424 302.326 209.878 0.18412 8.3199 8.25849 8.16211e-05 0.061369 0.350053
0.251744 0.210233 0.700898 0 0.0547489 0.168988 0.00283917 0 126.503 83.0407 457.92 400.083 274.438 360.881 360.881 909.757 996.2 86.4434 242.465 302.376 209.893 0.184074 8.32242 8.26103 8.16461e-05 0.0613537 0.350204
0.251785 0.21033 0.70096 0 0.0547591 0.168994 0.00283864 0 126.448 83.007 457.915 400.051 274.445 360.883 360.883 909.772 996.21 86.438 242.506 302.425 209.908 0.184028 8.32494 8.26356 8.16711e-05 0.0613384 0.350356
0.251826 0.210427 0.701023 0 0.0547692 0.168999 0.00283811 0 126.394 82.9733 457.91 400.019 274.452 360.884 360.884 909.787 996.22 86.4326 242.547 302.474 209.923 0.183982 8.32746 8.26609 8.16962e-05 0.061323 0.350508
0.251867 0.210524 0.701086 0 0.0547794 0.169005 0.00283758 0 126.34 82.9397 457.906 399.988 274.459 360.886 360.886 909.803 996.23 86.4272 242.587 302.523 209.937 0.183936 8.32997 8.26863 8.17212e-05 0.0613077 0.350659
0.251908 0.210621 0.701148 0 0.0547896 0.16901 0.00283704 0 126.286 82.9062 457.901 399.956 274.466 360.887 360.887 909.818 996.24 86.4218 242.628 302.572 209.952 0.18389 8.33249 8.27116 8.17463e-05 0.0612923 0.350811
0.251949 0.210717 0.701211 0 0.0547998 0.169016 0.00283651 0 126.233 82.8727 457.896 399.924 274.472 360.889 360.889 909.834 996.25 86.4163 242.669 302.621 209.967 0.183844 8.33501 8.2737 8.17713e-05 0.061277 0.350962
0.25199 0.210814 0.701273 0 0.05481 0.169021 0.00283598 0 126.179 82.8392 457.891 399.893 274.479 360.89 360.89 909.849 996.26 86.4109 242.71 302.67 209.982 0.183798 8.33753 8.27623 8.17964e-05 0.0612616 0.351114
0.252031 0.21091 0.701335 0 0.0548202 0.169027 0.00283544 0 126.125 82.8058 457.886 399.861 274.486 360.892 360.892 909.864 996.27 86.4055 242.75 302.719 209.996 0.183752 8.34005 8.27877 8.18214e-05 0.0612462 0.351266
0.252072 0.211006 0.701397 0 0.0548303 0.169032 0.00283491 0 126.071 82.7725 457.882 399.83 274.493 360.893 360.893 909.88 996.28 86.4001 242.791 302.768 210.011 0.183706 8.34257 8.2813 8.18465e-05 0.0612309 0.351417
0.252112 0.211103 0.701459 0 0.0548405 0.169038 0.00283437 0 126.018 82.7392 457.877 399.798 274.5 360.895 360.895 909.895 996.29 86.3947 242.832 302.817 210.026 0.183659 8.34509 8.28384 8.18716e-05 0.0612155 0.351569
0.252153 0.211199 0.701521 0 0.0548507 0.169043 0.00283384 0 125.964 82.7059 457.872 399.766 274.507 360.896 360.896 909.911 996.3 86.3892 242.873 302.866 210.041 0.183613 8.34762 8.28638 8.18966e-05 0.0612001 0.35172
0.252194 0.211295 0.701583 0 0.0548609 0.169049 0.00283331 0 125.911 82.6727 457.867 399.735 274.514 360.898 360.898 909.926 996.31 86.3838 242.913 302.914 210.055 0.183567 8.35014 8.28891 8.19217e-05 0.0611847 0.351872
0.252235 0.211391 0.701644 0 0.0548711 0.169054 0.00283277 0 125.857 82.6395 457.863 399.703 274.521 360.899 360.899 909.942 996.32 86.3784 242.954 302.963 210.07 0.183521 8.35266 8.29145 8.19468e-05 0.0611693 0.352023
0.252276 0.211486 0.701706 0 0.0548813 0.16906 0.00283224 0 125.804 82.6064 457.858 399.672 274.528 360.901 360.901 909.957 996.33 86.3729 242.995 303.011 210.085 0.183475 8.35518 8.29399 8.19719e-05 0.0611539 0.352175
0.252317 0.211582 0.701768 0 0.0548915 0.169065 0.0028317 0 125.751 82.5733 457.853 399.64 274.535 360.903 360.902 909.973 996.34 86.3675 243.035 303.06 210.1 0.183428 8.35771 8.29653 8.19969e-05 0.0611385 0.352326
0.252357 0.211678 0.701829 0 0.0549017 0.169071 0.00283116 0 125.698 82.5403 457.849 399.608 274.542 360.904 360.904 909.988 996.35 86.362 243.076 303.108 210.114 0.183382 8.36023 8.29907 8.2022e-05 0.061123 0.352478
