dens densu densd denss densp densn dense densm xmu xmd xms xm muu mud mus mup mun mue E Eq Eh El P Pq Ph Pl chi
0.314133 0.19777 0.842339 0 0.0512528 0.256405 0.0136082 0.00444703 117.609 68.84 456.416 279.695 277.308 423.054 423.054 977.669 1123.41 145.746 312.963 371.821 298.78 2.06913 39.9391 39.3768 0.000389168 0.562346 0.165843
0.314254 0.198145 0.842642 0 0.0513003 0.25644 0.0136014 0.00444232 117.399 68.7226 456.401 279.591 277.366 423.087 423.087 977.819 1123.54 145.721 313.099 372.053 298.867 2.06745 39.9784 39.4165 0.000389561 0.561905 0.166223
0.314376 0.19852 0.842944 0 0.0513478 0.256476 0.0135945 0.00443759 117.189 68.6055 456.386 279.487 277.424 423.121 423.121 977.968 1123.66 145.697 313.236 372.285 298.953 2.06576 40.0177 39.4563 0.000389953 0.561462 0.166603
0.314498 0.198894 0.843245 0 0.0513955 0.256511 0.0135876 0.00443284 116.979 68.4887 456.371 279.383 277.482 423.154 423.154 978.118 1123.79 145.672 313.373 372.516 299.039 2.06406 40.057 39.496 0.000390346 0.561018 0.166984
0.31462 0.199268 0.843546 0 0.0514431 0.256546 0.0135807 0.00442808 116.77 68.3722 456.357 279.28 277.54 423.188 423.188 978.267 1123.91 145.648 313.51 372.747 299.126 2.06236 40.0963 39.5358 0.000390739 0.560573 0.167366
0.314741 0.199641 0.843846 0 0.0514909 0.256581 0.0135737 0.0044233 116.562 68.2561 456.342 279.176 277.598 423.221 423.221 978.417 1124.04 145.623 313.647 372.978 299.212 2.06065 40.1357 39.5756 0.000391132 0.560126 0.167748
0.314863 0.200014 0.844145 0 0.0515387 0.256616 0.0135668 0.0044185 116.354 68.1403 456.327 279.073 277.656 423.254 423.254 978.567 1124.16 145.598 313.784 373.208 299.298 2.05894 40.175 39.6154 0.000391526 0.559677 0.168132
0.314985 0.200386 0.844444 0 0.0515866 0.256652 0.0135598 0.00441369 116.146 68.0248 456.313 278.969 277.715 423.288 423.288 978.717 1124.29 145.573 313.921 373.438 299.384 2.05722 40.2144 39.6552 0.000391919 0.559227 0.168516
0.315107 0.200757 0.844742 0 0.0516345 0.256686 0.0135527 0.00440886 115.939 67.9097 456.298 278.866 277.773 423.321 423.321 978.867 1124.41 145.548 314.058 373.667 299.471 2.05549 40.2538 39.695 0.000392313 0.558775 0.1689
0.315229 0.201128 0.84504 0 0.0516825 0.256721 0.0135457 0.00440401 115.733 67.7949 456.284 278.762 277.832 423.354 423.354 979.018 1124.54 145.522 314.195 373.896 299.557 2.05376 40.2932 39.7349 0.000392707 0.558322 0.169286
0.315351 0.201498 0.845336 0 0.0517306 0.256756 0.0135386 0.00439914 115.527 67.6804 456.27 278.659 277.89 423.387 423.387 979.168 1124.66 145.497 314.332 374.124 299.643 2.05202 40.3326 39.7747 0.000393101 0.557867 0.169672
0.315474 0.201868 0.845633 0 0.0517787 0.256791 0.0135315 0.00439426 115.321 67.5662 456.255 278.556 277.949 423.421 423.421 979.318 1124.79 145.472 314.47 374.353 299.729 2.05028 40.372 39.8146 0.000393495 0.557411 0.170059
0.315596 0.202238 0.845928 0 0.0518269 0.256826 0.0135244 0.00438937 115.116 67.4524 456.241 278.453 278.008 423.454 423.454 979.469 1124.91 145.446 314.607 374.58 299.815 2.04853 40.4114 39.8545 0.000393889 0.556953 0.170447
0.315718 0.202606 0.846223 0 0.0518752 0.25686 0.0135172 0.00438445 114.912 67.3388 456.227 278.349 278.066 423.487 423.487 979.62 1125.04 145.42 314.745 374.808 299.902 2.04678 40.4509 39.8944 0.000394284 0.556494 0.170835
0.315841 0.202975 0.846517 0 0.0519235 0.256895 0.0135101 0.00437952 114.708 67.2256 456.213 278.246 278.125 423.52 423.52 979.77 1125.16 145.395 314.883 375.035 299.988 2.04502 40.4904 39.9344 0.000394678 0.556034 0.171224
0.315963 0.203342 0.846811 0 0.0519719 0.256929 0.0135029 0.00437457 114.505 67.1127 456.199 278.143 278.184 423.553 423.553 979.921 1125.29 145.369 315.021 375.262 300.074 2.04325 40.5299 39.9743 0.000395073 0.555572 0.171614
0.316086 0.20371 0.847104 0 0.0520203 0.256964 0.0134956 0.00436961 114.302 67.0002 456.185 278.04 278.243 423.586 423.586 980.072 1125.41 145.343 315.158 375.488 300.16 2.04148 40.5694 40.0143 0.000395468 0.555108 0.172005
0.316208 0.204076 0.847396 0 0.0520688 0.256998 0.0134884 0.00436463 114.099 66.8879 456.171 277.937 278.302 423.619 423.619 980.223 1125.54 145.317 315.296 375.714 300.246 2.0397 40.6089 40.0543 0.000395863 0.554643 0.172396
0.316331 0.204443 0.847688 0 0.0521174 0.257032 0.0134811 0.00435964 113.898 66.776 456.157 277.835 278.361 423.652 423.652 980.374 1125.66 145.291 315.434 375.939 300.333 2.03792 40.6484 40.0943 0.000396259 0.554177 0.172788
0.316454 0.204808 0.847979 0 0.052166 0.257066 0.0134738 0.00435463 113.696 66.6644 456.144 277.732 278.42 423.685 423.685 980.525 1125.79 145.265 315.573 376.164 300.419 2.03613 40.688 40.1343 0.000396654 0.553709 0.173181
0.316576 0.205173 0.84827 0 0.0522147 0.257101 0.0134665 0.0043496 113.495 66.5531 456.13 277.629 278.48 423.718 423.718 980.677 1125.91 145.238 315.711 376.389 300.505 2.03433 40.7275 40.1743 0.00039705 0.553239 0.173575
0.316699 0.205538 0.84856 0 0.0522635 0.257135 0.0134591 0.00434456 113.295 66.4421 456.116 277.526 278.539 423.751 423.751 980.828 1126.04 145.212 315.849 376.614 300.591 2.03253 40.7671 40.2144 0.000397446 0.552769 0.173969
0.316822 0.205902 0.848849 0 0.0523123 0.257169 0.0134517 0.0043395 113.095 66.3314 456.103 277.424 278.598 423.783 423.783 980.98 1126.16 145.185 315.988 376.838 300.677 2.03073 40.8067 40.2544 0.000397842 0.552296 0.174364
0.316945 0.206266 0.849138 0 0.0523612 0.257202 0.0134443 0.00433442 112.896 66.2211 456.089 277.321 278.658 423.816 423.816 981.131 1126.29 145.159 316.126 377.061 300.763 2.02892 40.8463 40.2945 0.000398238 0.551823 0.17476
0.317068 0.206629 0.849426 0 0.0524101 0.257236 0.0134369 0.00432933 112.697 66.1111 456.076 277.219 278.717 423.849 423.849 981.283 1126.41 145.132 316.265 377.285 300.849 2.0271 40.8859 40.3346 0.000398634 0.551348 0.175156
0.317191 0.206992 0.849713 0 0.0524591 0.25727 0.0134295 0.00432422 112.499 66.0013 456.062 277.116 278.777 423.882 423.882 981.435 1126.54 145.105 316.403 377.508 300.935 2.02528 40.9256 40.3747 0.000399031 0.550871 0.175554
0.317314 0.207354 0.85 0 0.0525082 0.257304 0.013422 0.0043191 112.301 65.8919 456.049 277.014 278.836 423.914 423.914 981.587 1126.66 145.078 316.542 377.73 301.022 2.02345 40.9652 40.4149 0.000399427 0.550394 0.175951
0.317438 0.207715 0.850286 0 0.0525573 0.257337 0.0134145 0.00431396 112.103 65.7828 456.036 276.911 278.896 423.947 423.947 981.739 1126.79 145.051 316.681 377.952 301.108 2.02162 41.0049 40.455 0.000399824 0.549914 0.17635
0.317561 0.208076 0.850572 0 0.0526065 0.257371 0.013407 0.00430881 111.906 65.674 456.023 276.809 278.956 423.98 423.98 981.891 1126.91 145.024 316.82 378.174 301.194 2.01978 41.0446 40.4952 0.000400221 0.549434 0.17675
0.317684 0.208437 0.850857 0 0.0526557 0.257404 0.0133994 0.00430364 111.71 65.5655 456.009 276.707 279.016 424.012 424.012 982.043 1127.04 144.997 316.959 378.396 301.28 2.01794 41.0843 40.5354 0.000400618 0.548952 0.17715
0.317808 0.208797 0.851142 0 0.052705 0.257438 0.0133919 0.00429846 111.514 65.4574 455.996 276.605 279.075 424.045 424.045 982.196 1127.16 144.969 317.098 378.617 301.366 2.01609 41.124 40.5756 0.000401015 0.548469 0.177551
0.317931 0.209157 0.851426 0 0.0527544 0.257471 0.0133843 0.00429326 111.319 65.3495 455.983 276.502 279.135 424.077 424.077 982.348 1127.29 144.942 317.237 378.838 301.452 2.01423 41.1637 40.6158 0.000401413 0.547984 0.177952
0.318055 0.209516 0.851709 0 0.0528038 0.257504 0.0133766 0.00428805 111.124 65.2419 455.97 276.4 279.195 424.11 424.11 982.5 1127.41 144.915 317.376 379.058 301.538 2.01237 41.2035 40.656 0.000401811 0.547498 0.178355
0.318178 0.209875 0.851992 0 0.0528533 0.257537 0.013369 0.00428281 110.93 65.1347 455.957 276.298 279.255 424.142 424.142 982.653 1127.54 144.887 317.516 379.278 301.624 2.01051 41.2433 40.6963 0.000402208 0.54701 0.178758
0.318302 0.210233 0.852274 0 0.0529028 0.25757 0.0133613 0.00427757 110.736 65.0277 455.945 276.196 279.316 424.175 424.175 982.806 1127.66 144.859 317.655 379.498 301.71 2.00864 41.283 40.7366 0.000402606 0.546522 0.179161
0.318426 0.210591 0.852555 0 0.0529525 0.257604 0.0133536 0.00427231 110.542 64.9211 455.932 276.095 279.376 424.207 424.207 982.959 1127.79 144.831 317.795 379.717 301.796 2.00676 41.3228 40.7768 0.000403005 0.546032 0.179566
0.318549 0.210948 0.852836 0 0.0530021 0.257636 0.0133459 0.00426704 110.349 64.8148 455.919 275.993 279.436 424.24 424.24 983.111 1127.91 144.804 317.934 379.936 301.882 2.00488 41.3626 40.8171 0.000403403 0.54554 0.179971
0.318673 0.211305 0.853117 0 0.0530519 0.257669 0.0133382 0.00426174 110.157 64.7087 455.906 275.891 279.496 424.272 424.272 983.264 1128.04 144.776 318.074 380.155 301.968 2.00299 41.4025 40.8575 0.000403801 0.545047 0.180377
0.318797 0.211661 0.853397 0 0.0531017 0.257702 0.0133304 0.00425644 109.965 64.603 455.894 275.789 279.557 424.304 424.304 983.418 1128.16 144.747 318.214 380.373 302.054 2.0011 41.4423 40.8978 0.0004042 0.544553 0.180784
0.318921 0.212017 0.853676 0 0.0531515 0.257735 0.0133226 0.00425112 109.773 64.4975 455.881 275.687 279.617 424.336 424.336 983.571 1128.29 144.719 318.354 380.591 302.14 1.99921 41.4822 40.9382 0.000404599 0.544058 0.181191
0.319045 0.212372 0.853955 0 0.0532014 0.257768 0.0133148 0.00424579 109.582 64.3924 455.869 275.586 279.678 424.369 424.369 983.724 1128.41 144.691 318.494 380.809 302.226 1.9973 41.522 40.9785 0.000404998 0.543561 0.181599
0.319169 0.212727 0.854233 0 0.0532514 0.2578 0.013307 0.00424044 109.392 64.2876 455.856 275.484 279.738 424.401 424.401 983.877 1128.54 144.663 318.634 381.026 302.312 1.9954 41.5619 41.0189 0.000405397 0.543063 0.182008
0.319294 0.213082 0.85451 0 0.0533014 0.257833 0.0132992 0.00423507 109.202 64.183 455.844 275.383 279.799 424.433 424.433 984.031 1128.66 144.634 318.774 381.243 302.398 1.99348 41.6018 41.0593 0.000405796 0.542564 0.182418
0.319418 0.213435 0.854787 0 0.0533515 0.257865 0.0132913 0.00422969 109.012 64.0788 455.831 275.281 279.86 424.465 424.465 984.184 1128.79 144.606 318.914 381.46 302.484 1.99157 41.6418 41.0997 0.000406196 0.542063 0.182828
0.319542 0.213789 0.855064 0 0.0534017 0.257898 0.0132834 0.0042243 108.823 63.9749 455.819 275.18 279.92 424.497 424.497 984.338 1128.91 144.577 319.055 381.676 302.57 1.98965 41.6817 41.1402 0.000406595 0.541561 0.183239
0.319667 0.214142 0.85534 0 0.0534519 0.25793 0.0132755 0.00421889 108.635 63.8712 455.807 275.079 279.981 424.529 424.529 984.492 1129.04 144.548 319.195 381.892 302.656 1.98772 41.7216 41.1806 0.000406995 0.541058 0.183651
0.319791 0.214495 0.855615 0 0.0535022 0.257962 0.0132675 0.00421347 108.447 63.7679 455.795 274.977 280.042 424.561 424.561 984.646 1129.16 144.519 319.336 382.108 302.742 1.98579 41.7616 41.2211 0.000407395 0.540554 0.184063
0.319916 0.214847 0.85589 0 0.0535525 0.257994 0.0132595 0.00420804 108.259 63.6648 455.783 274.876 280.103 424.593 424.593 984.8 1129.29 144.49 319.476 382.323 302.828 1.98385 41.8016 41.2616 0.000407795 0.540048 0.184476
0.32004 0.215198 0.856164 0 0.0536029 0.258027 0.0132515 0.00420258 108.072 63.562 455.771 274.775 280.164 424.625 424.625 984.954 1129.41 144.461 319.617 382.538 302.913 1.98191 41.8416 41.3021 0.000408196 0.539541 0.18489
0.320165 0.21555 0.856437 0 0.0536534 0.258059 0.0132435 0.00419712 107.885 63.4595 455.759 274.674 280.225 424.657 424.657 985.108 1129.54 144.432 319.758 382.752 302.999 1.97996 41.8816 41.3426 0.000408596 0.539033 0.185305
0.32029 0.215901 0.856711 0 0.0537039 0.258091 0.0132355 0.00419164 107.699 63.3574 455.747 274.573 280.286 424.689 424.689 985.262 1129.66 144.403 319.899 382.967 303.085 1.97801 41.9216 41.3832 0.000408997 0.538523 0.18572
0.320415 0.216251 0.856983 0 0.0537544 0.258122 0.0132274 0.00418615 107.514 63.2555 455.735 274.472 280.348 424.721 424.721 985.416 1129.79 144.374 320.04 383.181 303.171 1.97605 41.9617 41.4237 0.000409398 0.538013 0.186137
0.320539 0.216601 0.857255 0 0.0538051 0.258154 0.0132194 0.00418064 107.328 63.1539 455.723 274.371 280.409 424.753 424.753 985.571 1129.91 144.344 320.181 383.394 303.257 1.97409 42.0017 41.4643 0.000409798 0.537501 0.186553
0.320664 0.21695 0.857526 0 0.0538558 0.258186 0.0132112 0.00417512 107.144 63.0526 455.711 274.27 280.47 424.785 424.785 985.725 1130.04 144.315 320.322 383.608 303.343 1.97212 42.0418 41.5049 0.0004102 0.536987 0.186971
0.320789 0.217299 0.857797 0 0.0539065 0.258218 0.0132031 0.00416958 106.959 62.9515 455.699 274.169 280.532 424.817 424.817 985.88 1130.16 144.285 320.463 383.821 303.429 1.97015 42.0819 41.5455 0.000410601 0.536473 0.187389
0.320915 0.217648 0.858068 0 0.0539573 0.258249 0.013195 0.00416404 106.775 62.8508 455.688 274.068 280.593 424.849 424.849 986.034 1130.29 144.256 320.605 384.033 303.515 1.96818 42.122 41.5861 0.000411002 0.535957 0.187808
0.32104 0.217996 0.858338 0 0.0540082 0.258281 0.0131868 0.00415847 106.592 62.7503 455.676 273.967 280.655 424.88 424.88 986.189 1130.41 144.226 320.746 384.246 303.6 1.96619 42.1621 41.6267 0.000411404 0.535441 0.188228
0.321165 0.218344 0.858607 0 0.0540591 0.258312 0.0131786 0.0041529 106.409 62.6502 455.664 273.867 280.716 424.912 424.912 986.344 1130.54 144.196 320.888 384.458 303.686 1.96421 42.2023 41.6674 0.000411806 0.534923 0.188648
0.32129 0.218691 0.858876 0 0.0541101 0.258344 0.0131704 0.00414731 106.227 62.5503 455.653 273.766 280.778 424.944 424.944 986.499 1130.66 144.166 321.029 384.669 303.772 1.96222 42.2424 41.7081 0.000412208 0.534403 0.189069
0.321416 0.219038 0.859144 0 0.0541612 0.258375 0.0131622 0.0041417 106.045 62.4507 455.641 273.666 280.839 424.975 424.975 986.654 1130.79 144.136 321.171 384.881 303.858 1.96022 42.2826 41.7488 0.00041261 0.533883 0.189491
0.321541 0.219385 0.859412 0 0.0542123 0.258407 0.0131539 0.00413608 105.863 62.3514 455.63 273.565 280.901 425.007 425.007 986.809 1130.91 144.106 321.313 385.092 303.944 1.95822 42.3228 41.7895 0.000413012 0.533361 0.189914
0.321666 0.219731 0.859679 0 0.0542635 0.258438 0.0131456 0.00413045 105.682 62.2523 455.619 273.465 280.963 425.038 425.038 986.965 1131.04 144.075 321.455 385.303 304.029 1.95622 42.363 41.8302 0.000413415 0.532839 0.190337
0.321792 0.220076 0.859945 0 0.0543147 0.258469 0.0131373 0.00412481 105.502 62.1536 455.607 273.364 281.025 425.07 425.07 987.12 1131.16 144.045 321.597 385.513 304.115 1.95421 42.4032 41.8709 0.000413817 0.532315 0.190761
